timestamp,cpu_pct,ram_used_gb,ram_total_gb,gpu_util_pct,gpu_mem_used_mb,gpu_mem_total_mb
2026-08-07T23:23:53,13.1,31.7,68.48,30.0,3600.0,12282.0
2026-08-07T23:23:58,16.5,30.74,68.48,1.0,3598.0,12282.0
2026-08-07T23:24:03,9.4,31.49,68.48,6.0,3598.0,12282.0
2026-08-07T23:24:08,10.4,31.01,68.48,2.0,3616.0,12282.0
2026-08-07T23:24:13,8.4,31.71,68.48,98.0,3611.0,12282.0
2026-08-07T23:24:18,13.7,31.51,68.48,39.0,3600.0,12282.0
2026-08-07T23:24:23,12.8,30.73,68.48,1.0,3600.0,12282.0
2026-08-07T23:24:29,7.1,31.37,68.48,6.0,3600.0,12282.0
2026-08-07T23:24:34,10.2,30.85,68.48,3.0,3606.0,12282.0
2026-08-07T23:24:39,8.2,31.5,68.48,28.0,3600.0,12282.0
2026-08-07T23:24:44,14.0,31.51,68.48,34.0,3600.0,12282.0
2026-08-07T23:24:49,11.7,30.8,68.48,2.0,3600.0,12282.0
2026-08-07T23:24:54,7.3,31.55,68.48,34.0,3600.0,12282.0
2026-08-07T23:24:59,9.7,30.9,68.48,3.0,3602.0,12282.0
2026-08-07T23:25:04,11.3,31.48,68.48,31.0,3599.0,12282.0
2026-08-07T23:25:09,17.2,31.74,68.48,26.0,3599.0,12282.0
2026-08-07T23:25:14,11.6,31.07,68.48,2.0,3599.0,12282.0
2026-08-07T23:25:19,9.1,31.65,68.48,19.0,3599.0,12282.0
2026-08-07T23:25:24,8.8,31.4,68.48,6.0,3602.0,12282.0
2026-08-07T23:25:29,11.1,31.6,68.48,44.0,3599.0,12282.0
2026-08-07T23:25:34,14.4,31.6,68.48,39.0,3599.0,12282.0
2026-08-07T23:25:39,10.0,30.87,68.48,2.0,3599.0,12282.0
2026-08-07T23:25:44,9.3,31.44,68.48,21.0,3598.0,12282.0
2026-08-07T23:25:49,8.8,31.18,68.48,5.0,3602.0,12282.0
2026-08-07T23:25:54,12.0,31.41,68.48,36.0,3599.0,12282.0
2026-08-07T23:25:59,15.2,31.46,68.48,44.0,3599.0,12282.0
2026-08-07T23:26:04,8.3,31.16,68.48,4.0,3598.0,12282.0
2026-08-07T23:26:09,20.9,30.4,68.48,19.0,3614.0,12282.0
2026-08-07T23:26:14,21.7,28.73,68.48,8.0,2166.0,12282.0
2026-08-07T23:26:19,4.9,28.69,68.48,7.0,2163.0,12282.0
2026-08-07T23:26:24,5.7,28.69,68.48,6.0,2165.0,12282.0
2026-08-07T23:26:29,5.8,28.71,68.48,7.0,2157.0,12282.0
