thoi_diem,t_unix,nhan,p_tong_w,nhiet_do_c,xung_mhz,cpu_pct,throttled,p_0v8_aon_w,p_0v8_sw_w,p_1v1_sys_w,p_1v8_sys_w,p_3v3_adc_w,p_3v3_dac_w,p_3v3_sys_w,p_3v7_wl_sw_w,p_ddr_vdd2_w,p_ddr_vddq_w,p_hdmi_w,p_vdd_core_w
2026-09-13T13:24:08.532,1789280648.533,,1.6055,51.8,1500,0.0,0x0,0.00312,0.24951,0.20411,0.30413,0.00241,0.00242,0.17044,0.00362,0.03983,0.00000,0.07119,0.55469
2026-09-13T13:24:09.558,1789280649.559,,1.3752,51.2,1500,0.2,0x0,0.00297,0.21851,0.20525,0.30413,0.00282,0.00222,0.18019,0.00000,0.02703,0.00000,0.07108,0.36101
2026-09-13T13:24:10.584,1789280650.585,,1.3642,51.8,1500,0.0,0x0,0.00302,0.21773,0.20317,0.30221,0.00282,0.00222,0.16382,0.00000,0.03665,0.00000,0.07118,0.36140
2026-09-13T13:24:11.611,1789280651.611,,1.3656,51.8,1500,0.0,0x0,0.00297,0.21635,0.20566,0.30396,0.00282,0.00202,0.16424,0.00000,0.03989,0.00000,0.07295,0.35471
2026-09-13T13:24:12.637,1789280652.637,,1.3797,51.2,1500,0.0,0x0,0.00317,0.21929,0.20646,0.31069,0.00241,0.00222,0.17035,0.00000,0.02416,0.00000,0.07299,0.36796
2026-09-13T13:24:13.663,1789280653.663,,1.4246,52.4,1500,0.0,0x0,0.00297,0.21665,0.20948,0.30638,0.00282,0.00222,0.16479,0.05436,0.02922,0.00000,0.07404,0.36166
2026-09-13T13:24:14.689,1789280654.689,,1.4334,51.8,1500,0.2,0x0,0.00312,0.21422,0.20673,0.30571,0.00282,0.00242,0.17390,0.04343,0.05405,0.00000,0.07239,0.35458
2026-09-13T13:24:15.715,1789280655.716,,1.5924,51.2,1500,0.0,0x0,0.00312,0.21695,0.20573,0.30421,0.00282,0.00242,0.18974,0.20813,0.03655,0.00000,0.06802,0.35471
2026-09-13T13:24:16.741,1789280656.742,,1.6054,52.9,1500,0.0,0x0,0.00312,0.21499,0.20552,0.30287,0.00181,0.00222,0.20897,0.19478,0.03870,0.00030,0.07114,0.36101
2026-09-13T13:24:17.768,1789280657.768,,1.4603,51.8,1500,0.0,0x0,0.00307,0.24883,0.20411,0.30073,0.00282,0.00222,0.16704,0.04330,0.05387,0.00000,0.07305,0.36127
2026-09-13T13:24:18.794,1789280658.794,,1.3805,51.8,1500,0.5,0x0,0.00292,0.21987,0.20411,0.31022,0.00282,0.00242,0.16718,0.00725,0.03349,0.00000,0.06930,0.36088
2026-09-13T13:24:19.820,1789280659.821,,1.3540,50.1,1500,0.0,0x0,0.00297,0.21607,0.20545,0.30317,0.00282,0.00242,0.16713,0.00362,0.02196,0.00000,0.07367,0.35471
2026-09-13T13:24:20.847,1789280660.847,,1.6360,50.7,1500,0.0,0x0,0.00312,0.29512,0.20444,0.30073,0.00282,0.00242,0.16401,0.18623,0.03977,0.00000,0.07609,0.36127
2026-09-13T13:24:21.875,1789280661.875,,1.8554,51.8,1500,0.0,0x0,0.00312,0.21617,0.20263,0.30813,0.00262,0.00322,0.17039,0.16958,0.03767,0.00000,0.07167,0.67018
2026-09-13T13:24:22.901,1789280662.901,,1.7112,51.2,1500,0.0,0x0,0.00312,0.21783,0.20525,0.30594,0.00241,0.00222,0.16396,0.04336,0.02598,0.00000,0.07231,0.66877
2026-09-13T13:24:23.927,1789280663.928,,1.7356,51.8,1500,0.0,0x0,0.00297,0.21744,0.20552,0.31925,0.00362,0.00242,0.16713,0.04337,0.03245,0.00000,0.07288,0.66857
